FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration3.ats,false,false,25,3,30,13,18,60,DifferenceAscc+TreeSet+BA,15,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration3.ats,false,false,25,3,30,13,18,59,DifferenceAscc+TreeSet+GBA,21,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration3.ats,false,false,25,3,30,13,18,59,DifferenceAscc+TreeSet+lazyS+GBA,15,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration3.ats,false,false,25,3,30,13,18,59,DifferenceAscc+TreeSet+lazyB+GBA,14,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration3.ats,false,false,25,3,30,13,18,59,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,14,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration4.ats,false,false,52,3,63,21,18,93,DifferenceAscc+TreeSet+BA,17,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration4.ats,false,false,52,3,63,21,18,90,DifferenceAscc+TreeSet+GBA,18,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration4.ats,false,false,52,3,63,21,18,90,DifferenceAscc+TreeSet+lazyS+GBA,17,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration4.ats,false,false,52,3,63,21,18,90,DifferenceAscc+TreeSet+lazyB+GBA,17,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration4.ats,false,false,52,3,63,21,18,90,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,16,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration5.ats,false,false,39,7,47,30,18,129,DifferenceAscc+TreeSet+BA,20,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration5.ats,false,false,39,7,47,30,18,117,DifferenceAscc+TreeSet+GBA,18,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration5.ats,false,false,39,7,47,30,18,117,DifferenceAscc+TreeSet+lazyS+GBA,20,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration5.ats,false,false,39,7,47,30,18,117,DifferenceAscc+TreeSet+lazyB+GBA,26,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration5.ats,false,false,39,7,47,30,18,117,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,18,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration6.ats,false,false,75,4,97,21,18,225,DifferenceAscc+TreeSet+BA,21,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration6.ats,false,false,75,4,97,21,18,196,DifferenceAscc+TreeSet+GBA,20,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration6.ats,false,false,75,4,97,21,18,196,DifferenceAscc+TreeSet+lazyS+GBA,23,false
