FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration2.ats,false,false,21,16,21,37,29,36,DifferenceAntichain+TreeSet+GBA,13,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration2.ats,false,false,21,16,21,37,29,36,DifferenceAntichain+TreeSet+lazyS+GBA,14,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration2.ats,false,false,21,16,21,37,29,35,DifferenceAntichain+TreeSet+lazyB+GBA,13,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY2_Iteration2.ats,false,false,21,16,21,37,29,35,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,13,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration2.ats,false,false,21,14,21,22,29,36,DifferenceAntichain+TreeSet+GBA,13,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration2.ats,false,false,21,14,21,22,29,36,DifferenceAntichain+TreeSet+lazyS+GBA,13,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration2.ats,false,false,21,14,21,22,29,36,DifferenceAntichain+TreeSet+lazyB+GBA,12,true
a.07-alloca_true-termination_true-no-overflow.c.i_INTSET_LAZY3_Iteration2.ats,false,false,21,14,21,22,29,36,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,16,true
a.07-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration2.ats,false,false,21,15,21,21,29,36,DifferenceAntichain+TreeSet+GBA,13,true
a.07-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration2.ats,false,false,21,15,21,21,29,36,DifferenceAntichain+TreeSet+lazyS+GBA,12,true
a.07-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration2.ats,false,false,21,15,21,21,29,35,DifferenceAntichain+TreeSet+lazyB+GBA,13,true
a.07-alloca_true-termination_true-no-overflow.c.i_ORIGINAL_Iteration2.ats,false,false,21,15,21,21,29,35,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,12,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY2_Iteration2.ats,false,false,21,82,21,162,29,1550,DifferenceAntichain+TreeSet+GBA,97,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY2_Iteration2.ats,false,false,21,82,21,162,29,99,DifferenceAntichain+TreeSet+lazyS+GBA,21,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY2_Iteration2.ats,false,false,21,82,21,162,29,1551,DifferenceAntichain+TreeSet+lazyB+GBA,136,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY2_Iteration2.ats,false,false,21,82,21,162,29,99,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,19,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY3_Iteration2.ats,false,false,21,77,21,153,29,838,DifferenceAntichain+TreeSet+GBA,81,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY3_Iteration2.ats,false,false,21,77,21,153,29,162,DifferenceAntichain+TreeSet+lazyS+GBA,24,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY3_Iteration2.ats,false,false,21,77,21,153,29,838,DifferenceAntichain+TreeSet+lazyB+GBA,59,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-INTSET_LAZY3_Iteration2.ats,false,false,21,77,21,153,29,166,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,24,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-ORIGINAL_Iteration2.ats,false,false,21,77,21,153,29,838,DifferenceAntichain+TreeSet+GBA,56,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-ORIGINAL_Iteration2.ats,false,false,21,77,21,153,29,162,DifferenceAntichain+TreeSet+lazyS+GBA,26,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-ORIGINAL_Iteration2.ats,false,false,21,77,21,153,29,838,DifferenceAntichain+TreeSet+lazyB+GBA,73,true
a.07-alloca_true-termination_true-no-overflow.c.i_SUNFLOWER-ORIGINAL_Iteration2.ats,false,false,21,77,21,153,29,166,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,26,true
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration2.ats,false,false,9,3,11,12,18,27,DifferenceAntichain+TreeSet+GBA,12,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration2.ats,false,false,9,3,11,12,18,27,DifferenceAntichain+TreeSet+lazyS+GBA,12,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration2.ats,false,false,9,3,11,12,18,27,DifferenceAntichain+TreeSet+lazyB+GBA,11,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration2.ats,false,false,9,3,11,12,18,27,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,14,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration3.ats,false,false,25,3,30,13,18,51,DifferenceAntichain+TreeSet+GBA,13,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_INTSET_LAZY2_Iteration3.ats,false,false,25,3,30,13,18,51,DifferenceAntichain+TreeSet+lazyS+GBA,12,false
