FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,PAIR_REJ_ANTICHAIN,PAIR_DEL_ANTICHAIN,PAIR_LEFT_ANTICHAIN,TRANS_USED_SND_BUCHI,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
email_spec8_product20_false-unreach-call_true-termination.cil.c_Iteration2.ats,false,true,1318,6,2406,2065,1465,0,0,0,2065,3921,ASCC,110,true
email_spec8_product20_false-unreach-call_true-termination.cil.c_Iteration2.ats,false,true,1318,6,2406,2065,1465,0,0,0,0,0,RABIT,1784,true
AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination_true-no-overflow.c_Iteration2.ats,false,true,13,9,16,28,12,0,0,0,28,43,NCSB+Tarjan,0,true
AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination_true-no-overflow.c_Iteration2.ats,false,true,13,9,16,28,12,0,0,42,28,43,ASCC+Antichain,0,true
AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination_true-no-overflow.c_Iteration2.ats,false,true,13,9,16,28,12,0,0,0,28,43,ASCC,0,true
AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination_true-no-overflow.c_Iteration2.ats,false,true,13,9,16,28,12,0,0,0,0,0,RABIT,77,true
UpAndDown_false-termination_true-no-overflow.c_Iteration2.ats,true,true,11,8,16,59,14,0,0,0,59,181,NCSB+Tarjan,1,false
UpAndDown_false-termination_true-no-overflow.c_Iteration2.ats,true,true,11,8,16,59,14,8,42,36,59,120,ASCC+Antichain,1,false
UpAndDown_false-termination_true-no-overflow.c_Iteration2.ats,true,true,11,8,16,59,14,0,0,0,59,120,ASCC,1,false
UpAndDown_false-termination_true-no-overflow.c_Iteration2.ats,true,true,11,8,16,59,14,0,0,0,0,0,RABIT,114,false
stroeder2-alloca_true-termination.c.i_Iteration2.ats,true,true,14,6,16,70,23,0,0,0,68,34,NCSB+Tarjan,1,false
stroeder2-alloca_true-termination.c.i_Iteration2.ats,true,true,14,6,16,70,23,0,0,11,68,34,ASCC+Antichain,1,false
stroeder2-alloca_true-termination.c.i_Iteration2.ats,true,true,14,6,16,70,23,0,0,0,68,34,ASCC,1,false
stroeder2-alloca_true-termination.c.i_Iteration2.ats,true,true,14,6,16,70,23,0,0,0,0,0,RABIT,202,false
c.02-alloca_true-termination_true-no-overflow.c.i_Iteration5.ats,false,true,283,18,363,115,36,0,0,0,115,1913,NCSB+Tarjan,7,true
c.02-alloca_true-termination_true-no-overflow.c.i_Iteration5.ats,false,true,283,18,363,115,36,0,368,1210,115,1630,ASCC+Antichain,7,true
c.02-alloca_true-termination_true-no-overflow.c.i_Iteration5.ats,false,true,283,18,363,115,36,0,0,0,115,1913,ASCC,6,true
c.02-alloca_true-termination_true-no-overflow.c.i_Iteration5.ats,false,true,283,18,363,115,36,0,0,0,0,0,RABIT,427,true
TelAviv-Amir-Minimum_true-termination_true-valid-memsafety.c_Iteration6.ats,false,true,536,10,1151,55,16,0,0,0,55,780,NCSB+Tarjan,4,false
TelAviv-Amir-Minimum_true-termination_true-valid-memsafety.c_Iteration6.ats,false,true,536,10,1151,55,16,9,67,186,55,510,ASCC+Antichain,2,false
TelAviv-Amir-Minimum_true-termination_true-valid-memsafety.c_Iteration6.ats,false,true,536,10,1151,55,16,0,0,0,55,583,ASCC,2,false
TelAviv-Amir-Minimum_true-termination_true-valid-memsafety.c_Iteration6.ats,false,true,536,10,1151,55,16,0,0,0,0,0,RABIT,8161,false
count_up_alloca_true-termination.c.i_Iteration3.ats,false,true,25,6,29,102,33,0,0,0,98,60,NCSB+Tarjan,1,false
count_up_alloca_true-termination.c.i_Iteration3.ats,false,true,25,6,29,102,33,0,1,20,98,60,ASCC+Antichain,1,false
count_up_alloca_true-termination.c.i_Iteration3.ats,false,true,25,6,29,102,33,0,0,0,98,60,ASCC,0,false
count_up_alloca_true-termination.c.i_Iteration3.ats,false,true,25,6,29,102,33,0,0,0,0,0,RABIT,491,false
s3_clnt_3.cil_true-unreach-call_true-termination.c_Iteration27.ats,false,true,4349,12,5544,985,211,0,0,0,985,50885,NCSB+Tarjan,458,true
s3_clnt_3.cil_true-unreach-call_true-termination.c_Iteration27.ats,false,true,4349,12,5544,985,211,0,6936,33096,985,40736,ASCC+Antichain,527,true
s3_clnt_3.cil_true-unreach-call_true-termination.c_Iteration27.ats,false,true,4349,12,5544,985,211,0,0,0,985,50885,ASCC,353,true
s3_clnt_3.cil_true-unreach-call_true-termination.c_Iteration27.ats,false,true,4349,12,5544,985,211,0,0,0,0,0,RABIT,5804,true
array14_alloca_false-termination.c.i_Iteration3.ats,false,true,23,7,28,88,29,0,0,0,85,61,NCSB+Tarjan,1,false
array14_alloca_false-termination.c.i_Iteration3.ats,false,true,23,7,28,88,29,0,0,29,85,58,ASCC+Antichain,0,false
array14_alloca_false-termination.c.i_Iteration3.ats,false,true,23,7,28,88,29,0,0,0,85,58,ASCC,0,false
array14_alloca_false-termination.c.i_Iteration3.ats,false,true,23,7,28,88,29,0,0,0,0,0,RABIT,226,false
cstrspn_malloc_true-termination.c.i_Iteration4.ats,false,true,52,11,61,108,38,0,0,0,108,198,NCSB+Tarjan,1,true
cstrspn_malloc_true-termination.c.i_Iteration4.ats,false,true,52,11,61,108,38,2,42,135,108,187,ASCC+Antichain,0,true
cstrspn_malloc_true-termination.c.i_Iteration4.ats,false,true,52,11,61,108,38,0,0,0,108,198,ASCC,1,true
cstrspn_malloc_true-termination.c.i_Iteration4.ats,false,true,52,11,61,108,38,0,0,0,0,0,RABIT,213,true
pals_floodmax.5_false-unreach-call.2.ufo.BOUNDED-10.pals_true-termination.c_Iteration3.ats,true,true,827,7,1492,5638,1300,0,0,0,5638,5479,NCSB+Tarjan,150,true
pals_floodmax.5_false-unreach-call.2.ufo.BOUNDED-10.pals_true-termination.c_Iteration3.ats,true,true,827,7,1492,5638,1300,81,1102,2209,5638,3641,ASCC+Antichain,120,true
pals_floodmax.5_false-unreach-call.2.ufo.BOUNDED-10.pals_true-termination.c_Iteration3.ats,true,true,827,7,1492,5638,1300,0,0,0,5638,5479,ASCC,154,true
pals_floodmax.5_false-unreach-call.2.ufo.BOUNDED-10.pals_true-termination.c_Iteration3.ats,true,true,827,7,1492,5638,1300,0,0,0,0,0,RABIT,1964,true
GulwaniJainKoskinen-2009PLDI-Fig1-alloca_true-termination.c.i_Iteration3.ats,true,true,34,29,35,140,36,0,0,0,140,325,NCSB+Tarjan,2,false
GulwaniJainKoskinen-2009PLDI-Fig1-alloca_true-termination.c.i_Iteration3.ats,true,true,34,29,35,140,36,32,55,140,140,284,ASCC+Antichain,2,false
GulwaniJainKoskinen-2009PLDI-Fig1-alloca_true-termination.c.i_Iteration3.ats,true,true,34,29,35,140,36,0,0,0,140,300,ASCC,1,false
GulwaniJainKoskinen-2009PLDI-Fig1-alloca_true-termination.c.i_Iteration3.ats,true,true,34,29,35,140,36,0,0,0,0,0,RABIT,782,false
transmitter.01_false-unreach-call_false-termination.cil.c_Iteration7.ats,true,true,365,14,484,1436,194,0,0,0,1436,11067,NCSB+Tarjan,92,false
transmitter.01_false-unreach-call_false-termination.cil.c_Iteration7.ats,true,true,365,14,484,1436,194,291,3806,2950,1436,7240,ASCC+Antichain,73,false
transmitter.01_false-unreach-call_false-termination.cil.c_Iteration7.ats,true,true,365,14,484,1436,194,0,0,0,1436,10381,ASCC,83,false
transmitter.01_false-unreach-call_false-termination.cil.c_Iteration7.ats,true,true,365,14,484,1436,194,0,0,0,0,0,RABIT,60003,null
c.01_assume-alloca_true-termination_true-no-overflow.c.i_Iteration4.ats,false,true,42,33,46,154,37,0,0,0,154,498,NCSB+Tarjan,3,true
