FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,PAIR_REJECT_ANTICHAIN,PAIR_DELETE_ANTICHAIN,PAIR_INGNORE_ANTICHAIN,PAIR_LEFT_ANTICHAIN,TRANS_USED_SND_BUCHI,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c_Iteration2.ats,true,true,6,4,7,27,13,0,0,0,0,27,16,ASCC,4,false
AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c_Iteration2.ats,true,true,6,4,7,27,13,0,0,0,0,0,0,RABIT,144,false
AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c_Iteration3.ats,false,true,10,3,12,20,13,0,0,0,0,20,23,NCSB+Tarjan,7,true
AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c_Iteration3.ats,false,true,10,3,12,20,13,0,6,6,14,20,23,ASCC+Antichain,8,true
AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c_Iteration3.ats,false,true,10,3,12,20,13,0,0,0,0,20,23,ASCC,4,true
AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c_Iteration3.ats,false,true,10,3,12,20,13,0,0,0,0,0,0,RABIT,169,true
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_Iteration2.ats,true,true,9,4,11,41,18,0,0,0,0,41,34,NCSB+Tarjan,9,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_Iteration2.ats,true,true,9,4,11,41,18,0,0,1,5,39,28,ASCC+Antichain,6,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_Iteration2.ats,true,true,9,4,11,41,18,0,0,0,0,39,31,ASCC,6,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_Iteration2.ats,true,true,9,4,11,41,18,0,0,0,0,0,0,RABIT,149,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_Iteration3.ats,false,true,24,4,30,38,18,0,0,0,0,38,62,NCSB+Tarjan,7,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_Iteration3.ats,false,true,24,4,30,38,18,0,0,1,5,38,33,ASCC+Antichain,6,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_Iteration3.ats,false,true,24,4,30,38,18,0,0,0,0,38,33,ASCC,4,false
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_Iteration3.ats,false,true,24,4,30,38,18,0,0,0,0,0,0,RABIT,305,false
AliasDarteFeautrierGonnord-SAS2010-loops_true-termination_false-no-overflow.c_Iteration2.ats,false,true,14,7,18,51,17,0,0,0,0,51,51,NCSB+Tarjan,7,true
AliasDarteFeautrierGonnord-SAS2010-loops_true-termination_false-no-overflow.c_Iteration2.ats,false,true,14,7,18,51,17,4,2,7,42,51,51,ASCC+Antichain,7,true
AliasDarteFeautrierGonnord-SAS2010-loops_true-termination_false-no-overflow.c_Iteration2.ats,false,true,14,7,18,51,17,0,0,0,0,51,51,ASCC,6,true
AliasDarteFeautrierGonnord-SAS2010-loops_true-termination_false-no-overflow.c_Iteration2.ats,false,true,14,7,18,51,17,0,0,0,0,0,0,RABIT,182,true
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration2.ats,true,true,10,6,12,50,20,0,0,0,0,50,56,NCSB+Tarjan,8,false
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration2.ats,true,true,10,6,12,50,20,0,1,0,5,45,20,ASCC+Antichain,5,false
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration2.ats,true,true,10,6,12,50,20,0,0,0,0,45,20,ASCC,5,false
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration2.ats,true,true,10,6,12,50,20,0,0,0,0,0,0,RABIT,170,false
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration3.ats,false,true,24,3,30,43,20,0,0,0,0,43,53,NCSB+Tarjan,10,false
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration3.ats,false,true,24,3,30,43,20,0,0,0,8,43,32,ASCC+Antichain,6,false
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration3.ats,false,true,24,3,30,43,20,0,0,0,0,43,32,ASCC,5,false
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration3.ats,false,true,24,3,30,43,20,0,0,0,0,0,0,RABIT,162,false
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration4.ats,false,true,42,3,51,42,20,0,0,0,0,42,110,NCSB+Tarjan,7,false
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration4.ats,false,true,42,3,51,42,20,0,0,0,21,42,42,ASCC+Antichain,6,false
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration4.ats,false,true,42,3,51,42,20,0,0,0,0,42,42,ASCC,5,false
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration4.ats,false,true,42,3,51,42,20,0,0,0,0,0,0,RABIT,193,false
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration5.ats,false,true,74,30,95,145,20,0,0,0,0,145,12108,NCSB+Tarjan,141,true
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration5.ats,false,true,74,30,95,145,20,78,3658,924,1092,145,5233,ASCC+Antichain,111,true
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration5.ats,false,true,74,30,95,145,20,0,0,0,0,145,12108,ASCC,135,true
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration5.ats,false,true,74,30,95,145,20,0,0,0,0,0,0,RABIT,10913,true
AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination_true-no-overflow.c_Iteration3.ats,false,true,12,10,14,36,12,0,0,0,0,36,129,NCSB+Tarjan,11,true
AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination_true-no-overflow.c_Iteration3.ats,false,true,12,10,14,36,12,3,29,8,76,36,114,ASCC+Antichain,14,true
AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination_true-no-overflow.c_Iteration3.ats,false,true,12,10,14,36,12,0,0,0,0,36,129,ASCC,9,true
AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination_true-no-overflow.c_Iteration3.ats,false,true,12,10,14,36,12,0,0,0,0,0,0,RABIT,124,true
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination_true-no-overflow.c_Iteration2.ats,false,true,12,6,15,26,12,0,0,0,0,26,84,NCSB+Tarjan,8,true
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination_true-no-overflow.c_Iteration2.ats,false,true,12,6,15,26,12,6,25,11,30,26,71,ASCC+Antichain,8,true
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination_true-no-overflow.c_Iteration2.ats,false,true,12,6,15,26,12,0,0,0,0,26,84,ASCC,7,true
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination_true-no-overflow.c_Iteration2.ats,false,true,12,6,15,26,12,0,0,0,0,0,0,RABIT,224,true
AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination_true-no-overflow.c_Iteration2.ats,false,true,13,9,16,28,12,0,0,0,0,28,43,NCSB+Tarjan,6,true
AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination_true-no-overflow.c_Iteration2.ats,false,true,13,9,16,28,12,0,0,8,42,28,43,ASCC+Antichain,7,true
AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination_true-no-overflow.c_Iteration2.ats,false,true,13,9,16,28,12,0,0,0,0,28,43,ASCC,5,true
AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination_true-no-overflow.c_Iteration2.ats,false,true,13,9,16,28,12,0,0,0,0,0,0,RABIT,118,true
AliasDarteFeautrierGonnord-SAS2010-while2_true-termination_true-no-overflow.c_Iteration2.ats,true,true,6,6,7,32,13,0,0,0,0,32,19,NCSB+Tarjan,4,false
AliasDarteFeautrierGonnord-SAS2010-while2_true-termination_true-no-overflow.c_Iteration2.ats,true,true,6,6,7,32,13,0,1,2,4,32,19,ASCC+Antichain,5,false
AliasDarteFeautrierGonnord-SAS2010-while2_true-termination_true-no-overflow.c_Iteration2.ats,true,true,6,6,7,32,13,0,0,0,0,32,19,ASCC,4,false
AliasDarteFeautrierGonnord-SAS2010-while2_true-termination_true-no-overflow.c_Iteration2.ats,true,true,6,6,7,32,13,0,0,0,0,0,0,RABIT,133,false
AliasDarteFeautrierGonnord-SAS2010-while2_true-termination_true-no-overflow.c_Iteration3.ats,false,true,12,3,15,23,13,0,0,0,0,23,27,NCSB+Tarjan,4,true
AliasDarteFeautrierGonnord-SAS2010-while2_true-termination_true-no-overflow.c_Iteration3.ats,false,true,12,3,15,23,13,0,3,4,19,23,24,ASCC+Antichain,5,true
AliasDarteFeautrierGonnord-SAS2010-while2_true-termination_true-no-overflow.c_Iteration3.ats,false,true,12,3,15,23,13,0,0,0,0,23,27,ASCC,5,true
AliasDarteFeautrierGonnord-SAS2010-while2_true-termination_true-no-overflow.c_Iteration3.ats,false,true,12,3,15,23,13,0,0,0,0,0,0,RABIT,161,true
AliasDarteFeautrierGonnord-SAS2010-wise_true-termination_true-no-overflow.c_Iteration2.ats,false,true,14,3,18,19,12,0,0,0,0,19,27,NCSB+Tarjan,4,false
AliasDarteFeautrierGonnord-SAS2010-wise_true-termination_true-no-overflow.c_Iteration2.ats,false,true,14,3,18,19,12,0,0,0,4,19,17,ASCC+Antichain,4,false
AliasDarteFeautrierGonnord-SAS2010-wise_true-termination_true-no-overflow.c_Iteration2.ats,false,true,14,3,18,19,12,0,0,0,0,19,17,ASCC,3,false
AliasDarteFeautrierGonnord-SAS2010-wise_true-termination_true-no-overflow.c_Iteration2.ats,false,true,14,3,18,19,12,0,0,0,0,0,0,RABIT,144,false
AlternDiv_false-termination.c_Iteration2.ats,false,true,7,6,8,22,10,0,0,0,0,22,39,NCSB+Tarjan,6,false
AlternDiv_false-termination.c_Iteration2.ats,false,true,7,6,8,22,10,1,9,0,18,22,37,ASCC+Antichain,6,false
AlternDiv_false-termination.c_Iteration2.ats,false,true,7,6,8,22,10,0,0,0,0,22,37,ASCC,6,false
AlternDiv_false-termination.c_Iteration2.ats,false,true,7,6,8,22,10,0,0,0,0,0,0,RABIT,134,false
AlternDivWide_false-termination.c_Iteration2.ats,false,true,11,10,13,41,12,0,0,0,0,41,96,NCSB+Tarjan,9,false
AlternDivWide_false-termination.c_Iteration2.ats,false,true,11,10,13,41,12,0,0,2,7,21,20,ASCC+Antichain,5,false
AlternDivWide_false-termination.c_Iteration2.ats,false,true,11,10,13,41,12,0,0,0,0,21,20,ASCC,4,false
AlternDivWide_false-termination.c_Iteration2.ats,false,true,11,10,13,41,12,0,0,0,0,0,0,RABIT,136,false
array01-alloca_true-termination.c.i_Iteration2.ats,true,true,14,6,16,64,23,0,0,0,0,60,28,NCSB+Tarjan,5,false
array01-alloca_true-termination.c.i_Iteration2.ats,true,true,14,6,16,64,23,0,0,3,4,60,28,ASCC+Antichain,9,false
array01-alloca_true-termination.c.i_Iteration2.ats,true,true,14,6,16,64,23,0,0,0,0,60,28,ASCC,6,false
array01-alloca_true-termination.c.i_Iteration2.ats,true,true,14,6,16,64,23,0,0,0,0,0,0,RABIT,287,false
array01-alloca_true-termination.c.i_Iteration3.ats,false,true,25,14,30,62,23,0,0,0,0,62,88,NCSB+Tarjan,8,true
array01-alloca_true-termination.c.i_Iteration3.ats,false,true,25,14,30,62,23,0,26,16,56,62,86,ASCC+Antichain,9,true
array01-alloca_true-termination.c.i_Iteration3.ats,false,true,25,14,30,62,23,0,0,0,0,62,88,ASCC,8,true
array01-alloca_true-termination.c.i_Iteration3.ats,false,true,25,14,30,62,23,0,0,0,0,0,0,RABIT,210,true
array06_alloca_true-termination.c.i_Iteration3.ats,false,true,21,53,23,140,26,0,0,0,0,140,629,NCSB+Tarjan,30,true
array06_alloca_true-termination.c.i_Iteration3.ats,false,true,21,53,23,140,26,0,5,35,608,140,616,ASCC+Antichain,51,true
array06_alloca_true-termination.c.i_Iteration3.ats,false,true,21,53,23,140,26,0,0,0,0,140,629,ASCC,27,true
array06_alloca_true-termination.c.i_Iteration3.ats,false,true,21,53,23,140,26,0,0,0,0,0,0,RABIT,206,true
array07_alloca_true-termination.c.i_Iteration3.ats,false,true,20,53,22,140,26,0,0,0,0,140,611,NCSB+Tarjan,30,true
array07_alloca_true-termination.c.i_Iteration3.ats,false,true,20,53,22,140,26,0,5,34,592,140,599,ASCC+Antichain,50,true
array07_alloca_true-termination.c.i_Iteration3.ats,false,true,20,53,22,140,26,0,0,0,0,140,611,ASCC,25,true
array07_alloca_true-termination.c.i_Iteration3.ats,false,true,20,53,22,140,26,0,0,0,0,0,0,RABIT,196,true
array14_alloca_false-termination.c.i_Iteration3.ats,false,true,23,7,28,88,29,0,0,0,0,85,61,NCSB+Tarjan,12,false
array14_alloca_false-termination.c.i_Iteration3.ats,false,true,23,7,28,88,29,0,0,3,29,85,58,ASCC+Antichain,8,false
array14_alloca_false-termination.c.i_Iteration3.ats,false,true,23,7,28,88,29,0,0,0,0,85,58,ASCC,7,false
array14_alloca_false-termination.c.i_Iteration3.ats,false,true,23,7,28,88,29,0,0,0,0,0,0,RABIT,260,false
array14_alloca_false-termination.c.i_Iteration4.ats,false,true,67,6,85,80,29,0,0,0,0,77,88,NCSB+Tarjan,8,false
array14_alloca_false-termination.c.i_Iteration4.ats,false,true,67,6,85,80,29,0,1,1,30,77,67,ASCC+Antichain,8,false
array14_alloca_false-termination.c.i_Iteration4.ats,false,true,67,6,85,80,29,0,0,0,0,77,67,ASCC,7,false
array14_alloca_false-termination.c.i_Iteration4.ats,false,true,67,6,85,80,29,0,0,0,0,0,0,RABIT,644,false
array16_alloca_fixed_true-termination.c.i_Iteration3.ats,false,true,25,7,30,83,29,0,0,0,0,79,63,NCSB+Tarjan,7,false
array16_alloca_fixed_true-termination.c.i_Iteration3.ats,false,true,25,7,30,83,29,0,0,1,27,79,60,ASCC+Antichain,8,false
array16_alloca_fixed_true-termination.c.i_Iteration3.ats,false,true,25,7,30,83,29,0,0,0,0,79,60,ASCC,7,false
array16_alloca_fixed_true-termination.c.i_Iteration3.ats,false,true,25,7,30,83,29,0,0,0,0,0,0,RABIT,242,false
Avery-2006FLOPS-Tabel1_true-alloca_true-termination.c.i_Iteration2.ats,true,true,37,21,38,198,48,0,0,0,0,198,211,NCSB+Tarjan,15,false
Avery-2006FLOPS-Tabel1_true-alloca_true-termination.c.i_Iteration2.ats,true,true,37,21,38,198,48,0,14,11,97,198,175,ASCC+Antichain,15,false
Avery-2006FLOPS-Tabel1_true-alloca_true-termination.c.i_Iteration2.ats,true,true,37,21,38,198,48,0,0,0,0,198,211,ASCC,24,false
Avery-2006FLOPS-Tabel1_true-alloca_true-termination.c.i_Iteration2.ats,true,true,37,21,38,198,48,0,0,0,0,0,0,RABIT,427,false
Avery-2006FLOPS-Tabel1_true-alloca_true-termination.c.i_Iteration4.ats,false,true,92,37,102,221,48,0,0,0,0,221,888,NCSB+Tarjan,41,true
Avery-2006FLOPS-Tabel1_true-alloca_true-termination.c.i_Iteration4.ats,false,true,92,37,102,221,48,0,102,100,706,221,829,ASCC+Antichain,29,true
Avery-2006FLOPS-Tabel1_true-alloca_true-termination.c.i_Iteration4.ats,false,true,92,37,102,221,48,0,0,0,0,221,888,ASCC,29,true
Avery-2006FLOPS-Tabel1_true-alloca_true-termination.c.i_Iteration4.ats,false,true,92,37,102,221,48,0,0,0,0,0,0,RABIT,332,true
