FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,PAIR_REJECT_ANTICHAIN,PAIR_DELETE_ANTICHAIN,PAIR_INGNORE_ANTICHAIN,PAIR_LEFT_ANTICHAIN,TRANS_USED_SND_BUCHI,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,24,6,28,94,33,0,0,0,0,0,84,DifferenceTarjan+TreeSet+lazyB+GBA,28,false
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,24,6,28,94,33,0,0,0,0,0,79,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,30,false
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY2_Iteration3.ats,false,false,24,6,28,94,33,0,0,0,0,0,78,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,30,false
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY2_Iteration4.ats,false,false,34,14,40,89,33,0,0,0,0,0,129,DifferenceTarjan+TreeSet+BA,35,true
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY2_Iteration4.ats,false,false,34,14,40,89,33,0,0,0,0,0,103,DifferenceTarjan+TreeSet+GBA,29,true
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY2_Iteration4.ats,false,false,34,14,40,89,33,0,0,0,0,0,105,DifferenceTarjan+TreeSet+lazyS+BA,33,true
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY2_Iteration4.ats,false,false,34,14,40,89,33,0,0,0,0,0,88,DifferenceTarjan+TreeSet+lazyS+GBA,31,true
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY2_Iteration4.ats,false,false,34,14,40,89,33,0,0,0,0,0,163,DifferenceTarjan+TreeSet+lazyB+BA,32,true
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY2_Iteration4.ats,false,false,34,14,40,89,33,0,0,0,0,0,136,DifferenceTarjan+TreeSet+lazyB+GBA,31,true
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY2_Iteration4.ats,false,false,34,14,40,89,33,0,0,0,0,0,140,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,33,true
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY2_Iteration4.ats,false,false,34,14,40,89,33,0,0,0,0,0,121,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,39,true
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,23,11,27,120,33,0,0,0,0,0,120,DifferenceTarjan+TreeSet+BA,33,false
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,23,11,27,120,33,0,0,0,0,0,118,DifferenceTarjan+TreeSet+GBA,31,false
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,23,11,27,120,33,0,0,0,0,0,83,DifferenceTarjan+TreeSet+lazyS+BA,30,false
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,23,11,27,120,33,0,0,0,0,0,81,DifferenceTarjan+TreeSet+lazyS+GBA,30,false
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,23,11,27,120,33,0,0,0,0,0,140,DifferenceTarjan+TreeSet+lazyB+BA,34,false
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,23,11,27,120,33,0,0,0,0,0,138,DifferenceTarjan+TreeSet+lazyB+GBA,42,false
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,23,11,27,120,33,0,0,0,0,0,103,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,32,false
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY3_Iteration3.ats,false,false,23,11,27,120,33,0,0,0,0,0,101,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,32,false
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY3_Iteration4.ats,false,false,41,14,50,89,33,0,0,0,0,0,142,DifferenceTarjan+TreeSet+BA,28,true
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY3_Iteration4.ats,false,false,41,14,50,89,33,0,0,0,0,0,115,DifferenceTarjan+TreeSet+GBA,29,true
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY3_Iteration4.ats,false,false,41,14,50,89,33,0,0,0,0,0,118,DifferenceTarjan+TreeSet+lazyS+BA,35,true
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY3_Iteration4.ats,false,false,41,14,50,89,33,0,0,0,0,0,100,DifferenceTarjan+TreeSet+lazyS+GBA,26,true
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY3_Iteration4.ats,false,false,41,14,50,89,33,0,0,0,0,0,168,DifferenceTarjan+TreeSet+lazyB+BA,32,true
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY3_Iteration4.ats,false,false,41,14,50,89,33,0,0,0,0,0,137,DifferenceTarjan+TreeSet+lazyB+GBA,36,true
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY3_Iteration4.ats,false,false,41,14,50,89,33,0,0,0,0,0,145,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,33,true
count_down-alloca_true-termination.c.i_SUNFLOWER-INTSET_LAZY3_Iteration4.ats,false,false,41,14,50,89,33,0,0,0,0,0,122,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,48,true
count_down-alloca_true-termination.c.i_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,23,11,27,120,33,0,0,0,0,0,120,DifferenceTarjan+TreeSet+BA,30,false
count_down-alloca_true-termination.c.i_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,23,11,27,120,33,0,0,0,0,0,118,DifferenceTarjan+TreeSet+GBA,38,false
count_down-alloca_true-termination.c.i_SUNFLOWER-ORIGINAL_Iteration3.ats,false,false,23,11,27,120,33,0,0,0,0,0,83,DifferenceTarjan+TreeSet+lazyS+BA,28,false
